2024-10-04 14:08:35,425 - CLTR - INFO - Training Epoch:[76/1500]	 loss=7.25179	 lr=0.000010	 epoch_time=208.850
2024-10-04 14:12:03,457 - CLTR - INFO - Training Epoch:[77/1500]	 loss=6.60254	 lr=0.000010	 epoch_time=208.027
2024-10-04 14:15:33,497 - CLTR - INFO - Training Epoch:[78/1500]	 loss=6.74831	 lr=0.000010	 epoch_time=210.036
2024-10-04 14:18:59,394 - CLTR - INFO - Training Epoch:[79/1500]	 loss=6.75121	 lr=0.000010	 epoch_time=205.894
2024-10-04 14:22:29,078 - CLTR - INFO - Training Epoch:[80/1500]	 loss=7.03155	 lr=0.000010	 epoch_time=209.678
2024-10-04 14:25:56,428 - CLTR - INFO - Training Epoch:[81/1500]	 loss=6.75797	 lr=0.000010	 epoch_time=207.346
2024-10-04 14:29:25,674 - CLTR - INFO - Training Epoch:[82/1500]	 loss=6.72725	 lr=0.000010	 epoch_time=209.241
2024-10-04 14:32:53,194 - CLTR - INFO - Training Epoch:[83/1500]	 loss=6.50870	 lr=0.000010	 epoch_time=207.516
2024-10-04 14:36:24,069 - CLTR - INFO - Training Epoch:[84/1500]	 loss=6.53486	 lr=0.000010	 epoch_time=210.870
2024-10-04 14:39:55,632 - CLTR - INFO - Training Epoch:[85/1500]	 loss=6.40500	 lr=0.000010	 epoch_time=211.558
2024-10-04 14:43:25,213 - CLTR - INFO - Training Epoch:[86/1500]	 loss=7.08998	 lr=0.000010	 epoch_time=209.576
2024-10-04 14:46:53,279 - CLTR - INFO - Training Epoch:[87/1500]	 loss=6.58322	 lr=0.000010	 epoch_time=208.062
2024-10-04 14:50:25,606 - CLTR - INFO - Training Epoch:[88/1500]	 loss=6.65270	 lr=0.000010	 epoch_time=212.323
2024-10-04 14:53:58,650 - CLTR - INFO - Training Epoch:[89/1500]	 loss=6.85217	 lr=0.000010	 epoch_time=213.041
2024-10-04 14:57:27,875 - CLTR - INFO - Training Epoch:[90/1500]	 loss=6.52393	 lr=0.000010	 epoch_time=209.220
2024-10-04 15:00:57,454 - CLTR - INFO - Training Epoch:[91/1500]	 loss=6.71272	 lr=0.000010	 epoch_time=209.575
2024-10-04 15:04:27,324 - CLTR - INFO - Training Epoch:[92/1500]	 loss=6.49571	 lr=0.000010	 epoch_time=209.866
2024-10-04 15:07:57,035 - CLTR - INFO - Training Epoch:[93/1500]	 loss=6.88946	 lr=0.000010	 epoch_time=209.707
2024-10-04 15:11:25,877 - CLTR - INFO - Training Epoch:[94/1500]	 loss=6.55186	 lr=0.000010	 epoch_time=208.837
2024-10-04 15:14:52,721 - CLTR - INFO - Training Epoch:[95/1500]	 loss=6.80022	 lr=0.000010	 epoch_time=206.839
2024-10-04 15:18:25,802 - CLTR - INFO - Training Epoch:[96/1500]	 loss=6.84365	 lr=0.000010	 epoch_time=213.077
2024-10-04 15:21:57,839 - CLTR - INFO - Training Epoch:[97/1500]	 loss=6.74048	 lr=0.000010	 epoch_time=212.033
2024-10-04 15:25:26,083 - CLTR - INFO - Training Epoch:[98/1500]	 loss=6.15808	 lr=0.000010	 epoch_time=208.241
2024-10-04 15:28:57,011 - CLTR - INFO - Training Epoch:[99/1500]	 loss=6.79010	 lr=0.000010	 epoch_time=210.924
2024-10-04 15:32:28,237 - CLTR - INFO - Training Epoch:[100/1500]	 loss=6.44366	 lr=0.000010	 epoch_time=211.222
2024-10-04 15:35:55,021 - CLTR - INFO - Training Epoch:[101/1500]	 loss=6.55697	 lr=0.000010	 epoch_time=206.780
2024-10-04 15:39:24,283 - CLTR - INFO - Training Epoch:[102/1500]	 loss=6.29196	 lr=0.000010	 epoch_time=209.257
2024-10-04 15:42:53,413 - CLTR - INFO - Training Epoch:[103/1500]	 loss=6.35545	 lr=0.000010	 epoch_time=209.126
2024-10-04 15:46:26,070 - CLTR - INFO - Training Epoch:[104/1500]	 loss=6.90715	 lr=0.000010	 epoch_time=212.653
2024-10-04 15:49:54,449 - CLTR - INFO - Training Epoch:[105/1500]	 loss=6.83114	 lr=0.000010	 epoch_time=208.375
2024-10-04 15:53:23,343 - CLTR - INFO - Training Epoch:[106/1500]	 loss=6.68877	 lr=0.000010	 epoch_time=208.890
2024-10-04 15:56:54,920 - CLTR - INFO - Training Epoch:[107/1500]	 loss=6.34191	 lr=0.000010	 epoch_time=211.574
2024-10-04 16:00:24,951 - CLTR - INFO - Training Epoch:[108/1500]	 loss=6.26184	 lr=0.000010	 epoch_time=210.026
2024-10-04 16:03:54,389 - CLTR - INFO - Training Epoch:[109/1500]	 loss=6.72924	 lr=0.000010	 epoch_time=209.434
2024-10-04 16:07:23,702 - CLTR - INFO - Training Epoch:[110/1500]	 loss=6.42974	 lr=0.000010	 epoch_time=209.310
2024-10-04 16:10:56,282 - CLTR - INFO - Training Epoch:[111/1500]	 loss=6.47323	 lr=0.000010	 epoch_time=212.575
2024-10-04 16:14:25,052 - CLTR - INFO - Training Epoch:[112/1500]	 loss=6.61498	 lr=0.000010	 epoch_time=208.765
2024-10-04 16:17:52,749 - CLTR - INFO - Training Epoch:[113/1500]	 loss=6.10249	 lr=0.000010	 epoch_time=207.692
2024-10-04 16:21:21,424 - CLTR - INFO - Training Epoch:[114/1500]	 loss=6.23304	 lr=0.000010	 epoch_time=208.671
2024-10-04 16:24:51,286 - CLTR - INFO - Training Epoch:[115/1500]	 loss=6.25443	 lr=0.000010	 epoch_time=209.859
2024-10-04 16:28:20,585 - CLTR - INFO - Training Epoch:[116/1500]	 loss=6.24864	 lr=0.000010	 epoch_time=209.295
2024-10-04 16:31:49,729 - CLTR - INFO - Training Epoch:[117/1500]	 loss=6.18015	 lr=0.000010	 epoch_time=209.140
2024-10-04 16:35:21,301 - CLTR - INFO - Training Epoch:[118/1500]	 loss=6.23510	 lr=0.000010	 epoch_time=211.568
2024-10-04 16:38:51,573 - CLTR - INFO - Training Epoch:[119/1500]	 loss=6.32530	 lr=0.000010	 epoch_time=210.268
2024-10-04 16:42:22,917 - CLTR - INFO - Training Epoch:[120/1500]	 loss=6.21557	 lr=0.000010	 epoch_time=211.340
2024-10-04 16:45:52,453 - CLTR - INFO - Training Epoch:[121/1500]	 loss=6.57983	 lr=0.000010	 epoch_time=209.532
2024-10-04 16:49:19,653 - CLTR - INFO - Training Epoch:[122/1500]	 loss=6.15195	 lr=0.000010	 epoch_time=207.197
2024-10-04 16:52:49,407 - CLTR - INFO - Training Epoch:[123/1500]	 loss=6.43324	 lr=0.000010	 epoch_time=209.751
2024-10-04 16:56:18,847 - CLTR - INFO - Training Epoch:[124/1500]	 loss=6.06651	 lr=0.000010	 epoch_time=209.437
2024-10-04 16:59:47,212 - CLTR - INFO - Training Epoch:[125/1500]	 loss=6.60148	 lr=0.000010	 epoch_time=208.361
2024-10-04 17:03:16,001 - CLTR - INFO - Training Epoch:[126/1500]	 loss=6.41176	 lr=0.000010	 epoch_time=208.785
2024-10-04 17:06:43,987 - CLTR - INFO - Training Epoch:[127/1500]	 loss=6.24193	 lr=0.000010	 epoch_time=207.982
2024-10-04 17:10:11,944 - CLTR - INFO - Training Epoch:[128/1500]	 loss=6.65353	 lr=0.000010	 epoch_time=207.954
2024-10-04 17:13:39,931 - CLTR - INFO - Training Epoch:[129/1500]	 loss=6.54027	 lr=0.000010	 epoch_time=207.984
2024-10-04 17:17:08,227 - CLTR - INFO - Training Epoch:[130/1500]	 loss=6.51838	 lr=0.000010	 epoch_time=208.293
2024-10-04 17:20:36,939 - CLTR - INFO - Training Epoch:[131/1500]	 loss=6.48500	 lr=0.000010	 epoch_time=208.708
2024-10-04 17:24:06,139 - CLTR - INFO - Training Epoch:[132/1500]	 loss=6.11871	 lr=0.000010	 epoch_time=209.196
2024-10-04 17:27:34,718 - CLTR - INFO - Training Epoch:[133/1500]	 loss=6.31151	 lr=0.000010	 epoch_time=208.574
2024-10-04 17:31:02,162 - CLTR - INFO - Training Epoch:[134/1500]	 loss=6.27997	 lr=0.000010	 epoch_time=207.440
2024-10-04 17:34:29,106 - CLTR - INFO - Training Epoch:[135/1500]	 loss=6.19778	 lr=0.000010	 epoch_time=206.940
2024-10-04 17:37:57,017 - CLTR - INFO - Training Epoch:[136/1500]	 loss=6.38143	 lr=0.000010	 epoch_time=207.908
2024-10-04 17:41:26,213 - CLTR - INFO - Training Epoch:[137/1500]	 loss=6.12511	 lr=0.000010	 epoch_time=209.191
2024-10-04 17:44:55,073 - CLTR - INFO - Training Epoch:[138/1500]	 loss=6.30961	 lr=0.000010	 epoch_time=208.856
2024-10-04 17:48:22,488 - CLTR - INFO - Training Epoch:[139/1500]	 loss=6.39368	 lr=0.000010	 epoch_time=207.411
2024-10-04 17:51:48,808 - CLTR - INFO - Training Epoch:[140/1500]	 loss=6.15504	 lr=0.000010	 epoch_time=206.316
2024-10-04 17:55:17,433 - CLTR - INFO - Training Epoch:[141/1500]	 loss=6.41508	 lr=0.000010	 epoch_time=208.622
2024-10-04 17:58:45,725 - CLTR - INFO - Training Epoch:[142/1500]	 loss=5.95181	 lr=0.000010	 epoch_time=208.288
2024-10-04 18:02:13,818 - CLTR - INFO - Training Epoch:[143/1500]	 loss=6.32895	 lr=0.000010	 epoch_time=208.089
2024-10-04 18:05:41,557 - CLTR - INFO - Training Epoch:[144/1500]	 loss=6.20880	 lr=0.000010	 epoch_time=207.736
2024-10-04 18:09:07,937 - CLTR - INFO - Training Epoch:[145/1500]	 loss=6.23115	 lr=0.000010	 epoch_time=206.376
2024-10-04 18:12:35,912 - CLTR - INFO - Training Epoch:[146/1500]	 loss=6.22028	 lr=0.000010	 epoch_time=207.971
2024-10-04 18:16:03,085 - CLTR - INFO - Training Epoch:[147/1500]	 loss=6.32757	 lr=0.000010	 epoch_time=207.168
2024-10-04 18:19:31,973 - CLTR - INFO - Training Epoch:[148/1500]	 loss=6.46301	 lr=0.000010	 epoch_time=208.883
2024-10-04 18:23:01,674 - CLTR - INFO - Training Epoch:[149/1500]	 loss=5.99964	 lr=0.000010	 epoch_time=209.698
2024-10-04 18:26:31,826 - CLTR - INFO - Training Epoch:[150/1500]	 loss=6.23738	 lr=0.000010	 epoch_time=210.148
2024-10-04 18:29:59,063 - CLTR - INFO - Training Epoch:[151/1500]	 loss=6.02849	 lr=0.000010	 epoch_time=207.233
2024-10-04 18:33:26,781 - CLTR - INFO - Training Epoch:[152/1500]	 loss=5.96541	 lr=0.000010	 epoch_time=207.715
2024-10-04 18:36:54,207 - CLTR - INFO - Training Epoch:[153/1500]	 loss=6.12973	 lr=0.000010	 epoch_time=207.421
2024-10-04 18:40:25,918 - CLTR - INFO - Training Epoch:[154/1500]	 loss=6.13493	 lr=0.000010	 epoch_time=211.708
2024-10-04 18:43:58,960 - CLTR - INFO - Training Epoch:[155/1500]	 loss=6.03328	 lr=0.000010	 epoch_time=213.037
2024-10-04 18:47:27,580 - CLTR - INFO - Training Epoch:[156/1500]	 loss=6.29288	 lr=0.000010	 epoch_time=208.617
2024-10-04 18:50:54,277 - CLTR - INFO - Training Epoch:[157/1500]	 loss=5.82590	 lr=0.000010	 epoch_time=206.694
2024-10-04 18:54:23,034 - CLTR - INFO - Training Epoch:[158/1500]	 loss=6.01909	 lr=0.000010	 epoch_time=208.752
2024-10-04 18:57:51,761 - CLTR - INFO - Training Epoch:[159/1500]	 loss=6.05732	 lr=0.000010	 epoch_time=208.724
